ID,Prob1
0, 0.29
1, 0.30
2, 0.45
3, 0.25
4, 0.26
5, 0.29
6, 0.29
7, 0.71
8, 0.82
9, 0.18
10, 0.35
11, 0.27
12, 0.40
13, 0.42
14, 0.33
15, 0.24
16, 0.28
17, 0.15
18, 0.19
19, 0.40
20, 0.36
21, 0.25
22, 0.34
23, 0.25
24, 0.22
25, 0.40
26, 0.32
27, 0.19
28, 0.31
29, 0.77
30, 0.12
31, 0.22
32, 0.21
33, 0.33
34, 0.50
35, 0.50
36, 0.28
37, 0.43
38, 0.46
39, 0.53
40, 0.29
41, 0.16
42, 0.33
43, 0.35
44, 0.41
45, 0.35
46, 0.30
47, 0.58
48, 0.32
49, 0.33
50, 0.66
51, 0.22
52, 0.46
53, 0.26
54, 0.59
55, 0.17
56, 0.70
57, 0.21
58, 0.29
59, 0.24
60, 0.37
61, 0.50
62, 0.16
63, 0.18
64, 0.21
65, 0.24
66, 0.88
67, 0.18
68, 0.24
69, 0.26
70, 0.76
71, 0.86
72, 0.24
73, 0.29
74, 0.18
75, 0.42
76, 0.21
77, 0.36
78, 0.18
79, 0.34
80, 0.32
81, 0.20
82, 0.26
83, 0.35
84, 0.43
85, 0.32
86, 0.54
87, 0.29
88, 0.20
89, 0.46
90, 0.18
91, 0.25
92, 0.25
93, 0.55
94, 0.23
95, 0.28
96, 0.33
97, 0.18
98, 0.16
99, 0.67
100, 0.12
101, 0.50
102, 0.31
103, 0.29
104, 0.31
105, 0.27
106, 0.28
107, 0.27
108, 0.24
109, 0.39
110, 0.32
111, 0.22
112, 0.20
113, 0.32
114, 0.41
115, 0.15
116, 0.15
117, 0.23
118, 0.35
119, 0.27
120, 0.19
121, 0.36
122, 0.67
123, 0.53
124, 0.20
125, 0.53
126, 0.28
127, 0.32
128, 0.30
129, 0.20
130, 0.50
131, 0.48
132, 0.12
133, 0.31
134, 0.18
135, 0.29
136, 0.22
137, 0.16
138, 0.34
139, 0.11
140, 0.20
141, 0.34
142, 0.58
143, 0.19
144, 0.26
145, 0.20
146, 0.36
147, 0.24
148, 0.27
149, 0.39
150, 0.49
151, 0.27
152, 0.54
153, 0.23
154, 0.71
155, 0.26
156, 0.41
157, 0.24
158, 0.19
159, 0.30
160, 0.44
161, 0.12
162, 0.24
163, 0.28
164, 0.09
165, 0.36
166, 0.19
167, 0.34
168, 0.29
169, 0.15
170, 0.10
171, 0.37
172, 0.19
173, 0.54
174, 0.30
175, 0.22
176, 0.24
177, 0.24
178, 0.62
179, 0.17
180, 0.60
181, 0.60
182, 0.18
183, 0.19
184, 0.64
185, 0.27
186, 0.71
187, 0.76
188, 0.24
189, 0.25
190, 0.90
191, 0.30
192, 0.47
193, 0.25
194, 0.30
195, 0.33
196, 0.13
197, 0.37
198, 0.32
199, 0.16
200, 0.18
201, 0.23
202, 0.82
203, 0.20
204, 0.23
205, 0.20
206, 0.23
207, 0.31
208, 0.29
209, 0.66
210, 0.34
211, 0.34
212, 0.32
213, 0.43
214, 0.43
215, 0.19
216, 0.39
217, 0.22
218, 0.12
219, 0.35
220, 0.31
221, 0.30
222, 0.11
223, 0.49
224, 0.34
225, 0.23
226, 0.43
227, 0.38
228, 0.45
229, 0.15
230, 0.24
231, 0.60
232, 0.29
233, 0.23
234, 0.32
235, 0.38
236, 0.30
237, 0.40
238, 0.56
239, 0.34
240, 0.48
241, 0.19
242, 0.23
243, 0.13
244, 0.25
245, 0.16
246, 0.15
247, 0.68
248, 0.36
249, 0.19
250, 0.82
251, 0.31
252, 0.14
253, 0.22
254, 0.28
255, 0.15
256, 0.42
257, 0.24
258, 0.81
259, 0.24
260, 0.73
261, 0.34
262, 0.31
263, 0.17
264, 0.30
265, 0.20
266, 0.21
267, 0.25
268, 0.21
269, 0.38
270, 0.16
271, 0.18
272, 0.19
273, 0.32
274, 0.62
275, 0.33
276, 0.72
277, 0.79
278, 0.27
279, 0.22
280, 0.70
281, 0.24
282, 0.19
283, 0.38
284, 0.33
285, 0.60
286, 0.42
287, 0.38
288, 0.24
289, 0.23
290, 0.21
291, 0.30
292, 0.25
293, 0.21
294, 0.15
295, 0.15
296, 0.34
297, 0.09
298, 0.25
299, 0.72
300, 0.33
301, 0.49
302, 0.58
303, 0.45
304, 0.10
305, 0.45
306, 0.37
307, 0.25
308, 0.26
309, 0.65
310, 0.29
311, 0.26
312, 0.39
313, 0.20
314, 0.72
315, 0.32
316, 0.10
317, 0.37
318, 0.24
319, 0.37
320, 0.27
321, 0.26
322, 0.24
323, 0.29
324, 0.27
325, 0.32
326, 0.34
327, 0.40
328, 0.24
329, 0.18
330, 0.16
331, 0.49
332, 0.36
333, 0.23
334, 0.38
335, 0.16
336, 0.23
337, 0.89
338, 0.31
339, 0.31
340, 0.52
341, 0.19
342, 0.13
343, 0.10
344, 0.29
345, 0.65
346, 0.53
347, 0.07
348, 0.17
349, 0.45
350, 0.14
351, 0.36
352, 0.18
353, 0.47
354, 0.32
355, 0.25
356, 0.15
357, 0.36
358, 0.20
359, 0.23
360, 0.27
361, 0.15
362, 0.16
363, 0.45
364, 0.22
365, 0.73
366, 0.26
367, 0.36
368, 0.21
369, 0.32
370, 0.23
371, 0.19
372, 0.32
373, 0.19
374, 0.37
375, 0.21
376, 0.49
377, 0.20
378, 0.60
379, 0.19
380, 0.44
381, 0.27
382, 0.21
383, 0.67
384, 0.28
385, 0.38
386, 0.37
387, 0.37
388, 0.18
389, 0.30
390, 0.16
391, 0.23
392, 0.53
393, 0.26
394, 0.36
395, 0.18
396, 0.53
397, 0.37
398, 0.24
399, 0.82
400, 0.38
401, 0.37
402, 0.07
403, 0.23
404, 0.28
405, 0.31
406, 0.56
407, 0.46
408, 0.28
409, 0.24
410, 0.10
