ID,Prob1
0, 0.51
1, 0.39
2, 0.46
3, 0.27
4, 0.31
5, 0.38
6, 0.33
7, 0.72
8, 0.92
9, 0.18
10, 0.36
11, 0.35
12, 0.44
13, 0.42
14, 0.26
15, 0.19
16, 0.35
17, 0.06
18, 0.19
19, 0.03
20, 0.41
21, 0.23
22, 0.35
23, 0.23
24, 0.27
25, 0.33
26, 0.30
27, 0.09
28, 0.37
29, 0.89
30, 0.02
31, 0.24
32, 0.20
33, 0.24
34, 0.49
35, 0.32
36, 0.44
37, 0.58
38, 0.38
39, 0.46
40, 0.22
41, 0.23
42, 0.43
43, 0.92
44, 0.62
45, 0.29
46, 0.41
47, 0.42
48, 0.56
49, 0.05
50, 0.54
51, 0.26
52, 0.25
53, 0.26
54, 0.59
55, 0.20
56, 0.94
57, 0.20
58, 0.30
59, 0.26
60, 0.27
61, 0.53
62, 0.05
63, 0.27
64, 0.17
65, 0.26
66, 0.94
67, 0.20
68, 0.44
69, 0.39
70, 0.78
71, 0.86
72, 0.26
73, 0.21
74, 0.01
75, 0.30
76, 0.26
77, 0.44
78, 0.20
79, 0.33
80, 0.34
81, 0.20
82, 0.30
83, 0.39
84, 0.58
85, 0.35
86, 0.36
87, 0.34
88, 0.19
89, 0.57
90, 0.19
91, 0.15
92, 0.29
93, 0.44
94, 0.17
95, 0.26
96, 0.36
97, 0.18
98, 0.20
99, 0.78
100, 0.03
101, 0.53
102, 0.57
103, 0.42
104, 0.65
105, 0.24
106, 0.39
107, 0.27
108, 0.23
109, 0.34
110, 0.29
111, 0.20
112, 0.22
113, 0.12
114, 0.36
115, 0.18
116, 0.07
117, 0.28
118, 0.33
119, 0.43
120, 0.03
121, 0.33
122, 0.94
123, 0.46
124, 0.16
125, 0.26
126, 0.20
127, 0.39
128, 0.26
129, 0.20
130, 0.07
131, 0.48
132, 0.14
133, 0.33
134, 0.19
135, 0.22
136, 0.20
137, 0.22
138, 0.32
139, 0.07
140, 0.20
141, 0.35
142, 0.82
143, 0.20
144, 0.20
145, 0.18
146, 0.06
147, 0.20
148, 0.23
149, 0.44
150, 0.43
151, 0.08
152, 0.38
153, 0.51
154, 0.77
155, 0.23
156, 0.35
157, 0.02
158, 0.20
159, 0.38
160, 0.39
161, 0.02
162, 0.29
163, 0.18
164, 0.06
165, 0.45
